Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties,Musique,Art Visuel,Design,Art scenique,Histoire
Le Nouveau Monde,media/nouveaumonde.jpg,https://nouveaumonde.ch/en/association,https://nouveaumonde.ch/fr,"Renaissance du Nouveau Monde dans le tout nouveau centre culturel de la ville de Fribourg, l'Ancienne Gare. 
D√©sormais, l'organisation dispose d'une salle de concert de 300 places, enti√®rement modulable, et de bureaux adapt√©s √† ses besoins. 
C'est le d√©but d'une nouvelle √©poque pour l'association.",15,Numbered,,"Esplanade de l'Ancienne Gare 3, 1700 Fribourg",46.802012,7.150291,,,,,x,,,x,
Fri-Son,media/frison.jpg,Source: http://www.laliberte.ch/info-regionale/justice/des-fenetres-pourront-etre-ouvertes-sur-fri-son-469816,https://fri-son.ch/fr,"Fri-Son est organis√©e en association bilingue √† but non lucratif conduite par un comit√© √©lu par l'assembl√©e g√©n√©rale des membres. Aujourd‚Äôhui, une √©quipe fixe de huit employ√©.e.s* travaille √† Fri-Son. Une douzaine de groupes de travail sont charg√©s de la gestion et du d√©roulement des concerts et des soir√©es. Environ 200 collaborateur.rice.s* et b√©n√©voles forment la famille Fri-Son.",15,Numbered,,"Route de la Fonderie 13, 1700 Fribourg",46.795041,7.151385,,,,,x,,,x,
MusÈe Gutenberg,,,https://www.gutenbergmuseum.ch/,Le MusÈe Gutenberg est dirigÈ par la ´†SociÈtÈ du MusÈe Gutenberg†ª dont le siËge est ‡ Fribourg.,15,Numbered,,"Liebfrauenplatz 16, 1702 Fribourg",46.807267,7.161774,,,,,,,x,,x
Jo.,media/Jo-bar+de+quartier.jpeg,https://www.jobardequartier.ch/,https://www.jobardequartier.ch/,"Lorem Ipsum†is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",15,Numbered,,"Rue du Criblet 11, 1700 Fribourg",46.805109,7.154151,,,,,x,,,,
…quilibre,,,http://equilibre-nuithonie.ch/,"Lorem Ipsum†is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",15,Numbered,,"Place Jean Tinguely 1, 1701 Fribourg",46.803519,7.153502,,,,,,,,x,
Nuithonie,,,http://equilibre-nuithonie.ch/,"Lorem Ipsum†is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",15,Numbered,,"Rue du Ctre 7, 1752 Villars-sur-Gl‚ne",46.794632,7.132137,,,,,,,,x,
MusÈe Tinguely,,,https://www.fr.ch/mahf/espace-jean-tinguely-niki-de-saint-phalle,"Lorem Ipsum†is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",15,Numbered,,"Rue de Morat 2, 1700 Fribourg",46.807062,7.161434,,,,,,x,,,
Fri-Art,,,http://www.fri-art.ch/,"Lorem Ipsum†is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",15,Numbered,,"Petites-Rames 22, 1700 Fribourg",46.803137,7.159482,,,,,,x,,,
MusÈe de la machine a coudre,,,http://museewassmer.com/,"Lorem Ipsum†is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",15,Numbered,,"Grand-Rue 58, 1700 Fribourg",46.805635,7.16287,,,,,,,x,,x
TODO: suite,,,,,,,,,,,,,,,,,,,
